"package","date","series","series_id","series_type","frequency","value","category"
"readrba",2005-01-31,"Non-financial corporate BBB-rated bonds – Effective tenor – 3 year target tenor","FNFTBBB3M","Original","Monthly",3.29,"TBC"
"readrba",2005-01-31,"Non-financial corporate BBB-rated bonds – Effective tenor – 5 year target tenor","FNFTBBB5M","Original","Monthly",5.62,"TBC"
"readrba",2005-01-31,"Non-financial corporate BBB-rated bonds – Effective tenor – 7 year target tenor","FNFTBBB7M","Original","Monthly",7.15,"TBC"
"readrba",2005-01-31,"Non-financial corporate BBB-rated bonds – Number of bonds – >12 years","FNFNBBB12M","Original","Monthly",0,"TBC"
"readrba",2005-01-31,"Non-financial corporate BBB-rated bonds – Number of bonds – 1–4 years","FNFNBBB3M","Original","Monthly",4,"TBC"
"readrba",2005-01-31,"Non-financial corporate BBB-rated bonds – Number of bonds – 4–6 years","FNFNBBB5M","Original","Monthly",1,"TBC"
"readrba",2005-01-31,"Non-financial corporate BBB-rated bonds – Number of bonds – 6–8 years","FNFNBBB7M","Original","Monthly",2,"TBC"
"readrba",2005-01-31,"Non-financial corporate BBB-rated bonds – Number of bonds – 8–12 years","FNFNBBB10M","Original","Monthly",2,"TBC"
"readrba",2005-01-31,"Non-financial corporate BBB-rated bonds – Yield – 10 year target tenor","FNFYBBB10M","Original","Monthly",6.58,"TBC"
"readrba",2005-01-31,"Non-financial corporate BBB-rated bonds – Yield – 3 year target tenor","FNFYBBB3M","Original","Monthly",6.1,"TBC"
"readrba",2005-01-31,"Non-financial corporate BBB-rated bonds – Yield – 5 year target tenor","FNFYBBB5M","Original","Monthly",6.35,"TBC"
"readrba",2005-01-31,"Non-financial corporate BBB-rated bonds – Yield – 7 year target tenor","FNFYBBB7M","Original","Monthly",6.5,"TBC"
"readrba",1970-05-31,"Trade-weighted Index May 1970 = 100","FXRTWI","Indicative","Monthly",100,"TBC"
"fredr",1990-01-01,"Global price of Brent Crude","POILBREUSDM","Original","Monthly",20.9891304347826,"Commodity"
"fredr",1990-01-01,"Global price of Brent Crude","MCOILBRENTEU","Original","Monthly",21.25,"Commodity"
"fredr",1990-01-01,"Spot Crude Oil Price: West Texas Intermediate (WTI)","WTISPLC","Original","Monthly",22.641,"Commodity"
"fredr",1990-01-01,"Global price of Iron Ore","PIORECRUSDM","Original","Monthly",14.05,"Commodity"
"fredr",1990-01-01,"Global price of Coal, Australia","PCOALAUUSDM","Original","Monthly",38,"Commodity"
"yahoofinancer",1992-11-30,"AUS ASX200","^AXJO","Original","Monthly",1564.69995117188,"Share price indices"
"yahoofinancer",1989-12-31,"AUS All Ordinaries","^AORD","Original","Monthly",1677,"Share price indices"
"yahoofinancer",1990-01-01,"US S&P 500","^GSPC","Original","Monthly",329.079986572266,"Share price indices"
"yahoofinancer",1999-12-31,"EU Euronext 100 Index","^N100","Original","Monthly",929.859985351562,"Share price indices"
"yahoofinancer",1990-01-01,"UK FTSE 100 Index","^FTSE","Original","Monthly",2337.30004882812,"Share price indices"
"yahoofinancer",1989-12-31,"Japan Nikkei 225","^N225","Original","Monthly",37188.94921875,"Share price indices"
"yahoofinancer",1996-12-31,"Korea KOSPI Composite Index","^KS11","Original","Monthly",685.840026855469,"Share price indices"
"yahoofinancer",1989-12-31,"Hong Kong Hang Seng Index","^HSI","Original","Monthly",2751.60009765625,"Share price indices"
"yahoofinancer",1997-07-31,"Shanghai SSE Composite Index","000001.SS","Original","Monthly",1221.06396484375,"Share price indices"
"yahoofinancer",2000-09-01,"Gold price","GC=F","Original","Monthly",273.600006103516,"Commodity"
